risk_decile,accounts,avg_pd,observed_default_rate,exposure,expected_loss,lift_vs_portfolio
10,600,0.6991708798727165,0.7083333333333334,63290000.0,19957956.116319902,3.202712886209495
9,600,0.4297672806315054,0.41833333333333333,65460000.0,12247050.212201755,1.891484551620196
8,600,0.2740592801196367,0.25166666666666665,72347680.0,8999163.303146204,1.1379050489826676
7,600,0.20085080760551724,0.19666666666666666,76950000.0,6938854.40324279,0.8892238131122833
6,600,0.1642474350277134,0.17833333333333334,82880000.0,6132051.16414472,0.8063300678221552
5,600,0.1386165971353678,0.13666666666666666,96970000.0,6033417.798938887,0.6179351921627732
4,600,0.11444558918424332,0.125,108290000.0,5584133.9098028485,0.5651846269781462
3,600,0.09026492465451696,0.08833333333333333,116390000.0,4701292.555359026,0.39939713639788993
2,600,0.06728431872879848,0.06833333333333333,139780000.0,4218946.9047933025,0.3089675960813866
1,600,0.045874845646457184,0.04,185420000.0,3754754.9771494833,0.18085908063300676
