feature,importance_mean,importance_std
pay_0,0.029914698068554124,0.0016870115619962496
months_delinquent,0.00970031359636638,0.002060472149621933
recent_utilization,0.004636309330006694,0.0008533476542571326
avg_delinquency,0.004518964009066669,0.0012292930330830912
bill_amt1,0.004175098677846767,0.0012569104856061386
max_delinquency,0.0035088831160509835,0.0016593322115666716
max_bill_amt,0.0034733516194219347,0.0008774295147654372
pay_amt2,0.0029152491023997085,0.0005923189735353402
max_utilization,0.002327232397973463,0.0008026696257999419
payment_to_bill_ratio,0.00197973866127323,0.0006276931708432749
pay_amt1,0.0019430514503060066,0.0009157779754821135
total_payment_amt,0.0016257675488637695,0.0009610882447491872
education,0.0013798422885337354,0.0005138469455317908
limit_bal,0.0012339535111489108,0.0006982794430272066
pay_amt3,0.001099648754223322,0.0009176620908431124
log_max_bill_amt_abs,0.0009536793456056033,0.00023403347726493168
pay_amt4,0.0007356793689348903,0.0002809130360792935
bill_amount_trend,0.000694906842167553,0.0004447816815073253
age,0.0006508284348515914,0.0001276830784746135
avg_utilization,0.0005605214540091256,0.0006137648170971767
bill_amt2,0.0005506844435959243,0.00046720195213421374
marriage_label,0.00047069826056398795,0.00016114478636326736
bill_amt5,0.0004179923113282191,0.0008228461115534218
pay_amt6,0.0003579220428214051,0.00012688694538111
marriage,0.0003508668099430438,0.0001720133120661958
bill_amt3,0.0003505039693950107,0.0003416854454570013
bill_amt4,0.00034765499916607673,0.00023559820154275701
bill_amt6,0.0002444604595991569,0.00022193492810424937
sex,0.00024256562562609738,0.00034303972703338045
payment_to_limit_ratio,0.00023850718690375064,0.00021397926045035482
pay_5,0.00010589568586895821,4.847474496251373e-05
log_avg_bill_amt_abs,5.224903891609678e-05,0.00035341142774336745
sex_label,5.039452055949356e-05,3.6342867937491225e-05
age_band,3.9899021744301454e-05,9.387565427044731e-05
pay_2,2.990074886529322e-05,0.0001249898758471481
young_high_util_flag,2.158229333831807e-05,1.7294579758814528e-05
revolving_balance_flag,1.3438538815894555e-05,1.7368415927082733e-05
low_payment_high_util_flag,1.7738871237645466e-06,3.063930266170204e-05
max_bill_amt_winsor,0.0,0.0
log_total_payment_amt_abs,0.0,0.0
log_total_bill_amt_abs,0.0,0.0
avg_bill_amt_winsor,0.0,0.0
total_bill_amt_winsor,0.0,0.0
avg_payment_amt_winsor,0.0,0.0
total_payment_amt_winsor,0.0,0.0
log_avg_payment_amt_abs,0.0,0.0
severe_delinquency_flag,0.0,0.0
recent_delinquency,0.0,0.0
avg_payment_amt,0.0,0.0
total_bill_amt,0.0,0.0
avg_bill_amt,-6.618480366797168e-05,0.00047164488355350967
pay_6,-6.631918905614098e-05,0.0002036040002559677
education_label,-8.964849244045651e-05,0.00010037123012056795
pay_3,-9.319626668791159e-05,0.00015205899309741466
pay_amt5,-0.00020911710251338608,0.00016959173016277583
limit_band,-0.0002701011916596367,7.488367801884613e-05
pay_4,-0.00033077619441325884,0.00032662336937661996
min_bill_amt,-0.0004316055511485913,0.00036402178234122513
payment_momentum,-0.0008978422168255765,0.0005316333712084143
