feature,psi,status
age,0.002960450627794248,stable
avg_utilization,0.002768104650829578,stable
age_band,0.002467356667778821,stable
bill_amt1,0.0023386623420225804,stable
recent_utilization,0.002108992079015538,stable
bill_amt4,0.0020757561657891036,stable
pay_amt5,0.0019825121062024375,stable
pay_0,0.0018472492813778585,stable
limit_bal,0.0018421810676189105,stable
pay_amt1,0.0017894066055869874,stable
avg_payment_amt_winsor,0.0016709874560006726,stable
log_total_payment_amt_abs,0.0016709874560006726,stable
total_payment_amt_winsor,0.0016709874560006726,stable
avg_payment_amt,0.0016709874560006726,stable
total_payment_amt,0.0016709874560006726,stable
log_avg_payment_amt_abs,0.0016709874560006726,stable
pay_amt4,0.0016057727314700537,stable
payment_momentum,0.001484351950566465,stable
limit_band,0.0014393120654268513,stable
pay_amt2,0.0013131472499075217,stable
payment_to_bill_ratio,0.0011620661215915075,stable
max_utilization,0.0010782759048096617,stable
log_max_bill_amt_abs,0.0010311311124525336,stable
max_bill_amt_winsor,0.0010311311124525336,stable
max_bill_amt,0.0010311311124525336,stable
pay_amt3,0.0010073704078946857,stable
bill_amt2,0.0009915327587666997,stable
bill_amt3,0.0009443651968774126,stable
bill_amount_trend,0.0009006164931586453,stable
pay_amt6,0.0007799301995410373,stable
min_bill_amt,0.000736779904145298,stable
bill_amt5,0.0007296541228199825,stable
bill_amt6,0.0006819966730344112,stable
education_label,0.0006337091962398871,stable
education,0.0005917251612122171,stable
recent_delinquency,0.0005877194329109449,stable
log_total_bill_amt_abs,0.0005283681944036026,stable
log_avg_bill_amt_abs,0.0005283681944036026,stable
max_delinquency,0.000523356849223542,stable
total_bill_amt,0.0004861309503522366,stable
avg_bill_amt,0.0004861309503522366,stable
total_bill_amt_winsor,0.0004861309503522366,stable
avg_bill_amt_winsor,0.0004861309503522366,stable
pay_6,0.0004492363613811544,stable
pay_4,0.0004332145608135069,stable
marriage_label,0.0003640381714266702,stable
payment_to_limit_ratio,0.00036067910565744734,stable
months_delinquent,0.0003355172530219705,stable
avg_delinquency,0.0003293687057460071,stable
pay_2,0.00018698150993564549,stable
sex_label,0.00014209422988056602,stable
pay_3,6.688702691657513e-05,stable
pay_5,2.3515199325368068e-05,stable
marriage,1.2444084109712093e-05,stable
sex,0.0,stable
young_high_util_flag,0.0,stable
revolving_balance_flag,0.0,stable
severe_delinquency_flag,0.0,stable
low_payment_high_util_flag,0.0,stable
